field_goals_attempted,field_goal_percentage,field_goal_3_attempted,field_goal_3_percentage,free_throws_made,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,points_allowed,points
82,0.561,37,0.459,12,3,40,27,12,3,18,107.0,121
89,0.472,41,0.366,12,11,46,26,5,4,20,96.0,111
90,0.433,42,0.333,18,11,36,28,6,3,16,122.0,110
98,0.398,41,0.317,15,9,36,27,8,3,15,119.0,106
87,0.506,38,0.474,20,9,44,25,6,0,14,113.0,126
84,0.393,43,0.326,26,11,38,25,4,6,19,114.0,106
99,0.475,44,0.341,23,9,46,26,3,9,13,136.0,132
78,0.526,37,0.405,33,5,39,27,7,3,14,116.0,130
88,0.477,51,0.333,15,7,47,28,3,5,18,119.0,116
92,0.489,35,0.257,17,17,48,21,6,6,22,120.0,116
84,0.464,41,0.317,28,7,40,25,9,7,15,112.0,119
81,0.395,38,0.263,29,10,41,18,7,3,21,124.0,103
82,0.488,45,0.444,31,7,47,29,7,7,23,123.0,131
83,0.482,35,0.4,17,8,33,21,9,0,18,117.0,111
94,0.394,33,0.242,25,9,33,20,15,3,17,120.0,107
98,0.469,37,0.27,16,10,26,30,6,3,8,132.0,118
81,0.494,43,0.442,16,10,33,27,5,4,17,108.0,115
97,0.557,34,0.412,17,10,32,31,11,2,16,134.0,139
99,0.364,42,0.31,6,14,43,19,9,3,13,111.0,91
95,0.484,44,0.386,16,6,27,27,10,6,15,136.0,125
91,0.516,46,0.37,18,5,28,28,16,8,16,126.0,129
95,0.442,42,0.357,24,7,35,16,4,6,11,139.0,123
90,0.444,40,0.35,22,9,29,26,7,2,15,128.0,116
89,0.404,42,0.357,30,8,35,23,8,10,8,127.0,117
101,0.386,49,0.286,16,14,34,25,10,7,11,115.0,108
86,0.453,40,0.45,30,10,28,24,6,4,23,137.0,126
95,0.547,44,0.591,12,9,37,39,8,3,12,115.0,142
91,0.495,35,0.257,21,6,27,18,13,7,16,127.0,120
85,0.435,38,0.342,22,14,31,25,12,6,16,113.0,109
84,0.405,39,0.179,31,6,38,24,9,4,17,118.0,106
89,0.483,46,0.5,20,10,35,29,7,8,20,133.0,129
90,0.444,43,0.279,12,7,34,33,9,4,13,113.0,104
98,0.49,32,0.344,17,13,38,28,8,8,17,131.0,124
98,0.398,50,0.38,25,12,32,21,5,6,14,150.0,122
90,0.333,51,0.314,16,9,33,24,8,4,13,117.0,92
85,0.388,41,0.341,19,7,39,25,3,6,17,104.0,99
92,0.467,42,0.31,11,9,36,33,4,2,14,134.0,110
96,0.552,33,0.424,13,12,34,28,5,5,14,134.0,133
89,0.427,43,0.302,19,8,39,26,9,4,13,96.0,108
85,0.553,43,0.465,15,8,38,32,5,5,16,120.0,129
86,0.488,40,0.425,18,7,37,30,9,3,9,106.0,119
95,0.474,32,0.25,17,7,27,23,9,2,17,149.0,115
103,0.417,57,0.368,12,7,35,30,5,6,7,116.0,119
90,0.422,33,0.333,31,13,35,23,5,4,11,110.0,118
91,0.484,42,0.31,17,10,29,30,4,2,14,128.0,118
92,0.457,28,0.357,13,8,37,27,13,6,12,112.0,107
95,0.432,44,0.318,28,8,37,27,14,4,11,119.0,124
71,0.352,32,0.25,10,7,27,14,7,5,21,94.2,68
90,0.411,40,0.325,17,14,33,24,7,3,10,102.0,104
64,0.5,30,0.367,35,5,45,21,4,5,28,107.0,110
96,0.531,36,0.417,22,9,43,32,1,2,7,120.0,139
90,0.333,42,0.167,12,13,29,15,6,4,13,118.0,79
100,0.43,49,0.286,29,22,41,22,7,6,20,120.0,129
94,0.532,28,0.393,25,6,41,32,14,9,12,131.0,136
81,0.519,21,0.381,23,8,28,30,10,3,18,122.0,115
82,0.439,19,0.316,18,13,38,15,10,5,9,84.0,96
91,0.451,24,0.167,17,13,35,19,4,8,12,126.0,103
85,0.482,20,0.35,15,11,31,23,3,1,13,112.0,104
97,0.485,30,0.4,19,20,45,26,6,7,17,123.0,125
85,0.553,20,0.4,23,17,33,29,6,4,16,115.0,125
83,0.506,23,0.348,14,9,30,28,2,3,8,115.0,106
85,0.506,15,0.267,11,13,29,22,5,6,15,107.0,101
91,0.44,29,0.379,21,16,38,20,12,8,17,123.0,112
81,0.432,25,0.44,17,5,35,21,7,7,15,106.0,98
88,0.409,23,0.13,21,14,38,19,10,3,20,114.0,96
110,0.473,34,0.382,18,15,41,30,12,6,17,140.0,135
85,0.447,22,0.364,11,16,31,24,5,6,15,92.0,95
92,0.467,20,0.3,13,10,29,27,12,5,13,103.0,105
102,0.559,26,0.385,15,12,34,33,11,1,12,134.0,139
82,0.415,26,0.269,17,14,43,19,5,1,12,85.0,92
91,0.429,28,0.321,19,11,35,26,9,6,16,127.0,106
86,0.442,32,0.281,7,8,34,17,5,7,13,97.0,92
92,0.533,19,0.316,6,14,34,19,7,8,13,97.0,110
94,0.394,41,0.366,15,8,39,22,3,2,11,118.0,104
87,0.414,45,0.4,16,5,38,26,7,6,16,121.0,106
84,0.452,39,0.487,12,6,29,24,9,1,18,121.0,107
89,0.348,33,0.212,27,10,32,18,9,5,11,111.0,96
89,0.494,41,0.39,18,4,44,29,6,2,15,110.0,122
84,0.571,28,0.536,22,6,27,25,6,2,12,127.0,133
83,0.386,23,0.304,25,12,37,13,9,3,17,108.0,96
102,0.402,47,0.319,22,12,40,24,7,4,13,122.0,119
88,0.42,32,0.25,19,10,37,17,5,2,9,108.0,101
87,0.402,41,0.268,18,8,35,26,8,4,13,109.0,99
82,0.476,34,0.353,19,11,32,21,3,2,18,120.0,109
82,0.524,38,0.474,28,12,34,31,10,4,18,116.0,132
87,0.529,31,0.355,25,6,36,31,8,3,12,118.0,128
98,0.449,37,0.486,8,12,30,30,13,2,15,110.0,114
99,0.343,39,0.179,37,20,25,21,9,1,7,119.0,112
76,0.421,28,0.179,21,9,33,21,3,5,9,99.0,90
92,0.467,33,0.424,20,12,29,31,10,3,15,115.0,120
91,0.484,29,0.448,25,13,36,21,11,4,14,106.0,126
84,0.607,21,0.333,23,6,39,31,5,5,10,118.0,132
84,0.524,30,0.433,12,5,30,28,6,5,12,116.0,113
80,0.413,37,0.378,7,5,29,20,8,6,15,99.0,87
84,0.488,33,0.364,21,7,30,23,10,5,14,124.0,115
81,0.444,34,0.353,16,4,34,25,12,7,16,109.0,100
76,0.474,24,0.417,19,7,30,22,7,4,13,113.0,101
89,0.483,38,0.395,8,12,39,32,11,3,19,92.0,109
100,0.4,31,0.355,17,12,42,25,15,7,14,104.0,108
84,0.393,35,0.286,16,6,39,20,5,4,17,114.0,92
84,0.524,33,0.455,13,7,35,25,12,4,20,111.0,116
85,0.435,29,0.345,15,5,33,20,6,5,15,114.0,99
